NAME,us,Year,Topic,Geo,Variable,Value,Display
United States,1,2021,Sex by Age (full),US,B01001_015E,10270733.0,B01001_015E
United States,1,2022,Sex by Age (full),US,B01001_015E,10160361.0,B01001_015E
United States,1,2023,Sex by Age (full),US,B01001_015E,10008664.0,B01001_015E
United States,1,2018,Sex by Age (full),US,B01001_015EA,,B01001_015EA
United States,1,2019,Sex by Age (full),US,B01001_015EA,,B01001_015EA
United States,1,2020,Sex by Age (full),US,B01001_015EA,,B01001_015EA
United States,1,2021,Sex by Age (full),US,B01001_015EA,,B01001_015EA
United States,1,2022,Sex by Age (full),US,B01001_015EA,,B01001_015EA
United States,1,2023,Sex by Age (full),US,B01001_015EA,,B01001_015EA
United States,1,2018,Sex by Age (full),US,B01001_015M,3728.0,B01001_015M
United States,1,2019,Sex by Age (full),US,B01001_015M,4596.0,B01001_015M
United States,1,2020,Sex by Age (full),US,B01001_015M,5354.0,B01001_015M
United States,1,2021,Sex by Age (full),US,B01001_015M,4729.0,B01001_015M
United States,1,2022,Sex by Age (full),US,B01001_015M,4646.0,B01001_015M
United States,1,2023,Sex by Age (full),US,B01001_015M,4442.0,B01001_015M
United States,1,2018,Sex by Age (full),US,B01001_015MA,,B01001_015MA
United States,1,2019,Sex by Age (full),US,B01001_015MA,,B01001_015MA
United States,1,2020,Sex by Age (full),US,B01001_015MA,,B01001_015MA
United States,1,2021,Sex by Age (full),US,B01001_015MA,,B01001_015MA
United States,1,2022,Sex by Age (full),US,B01001_015MA,,B01001_015MA
